,Name,Position,Team,Salary
0,Russell Westbrook,PG,Oklahoma City Thunder,35654150
1,LeBron James,SF,Los Angeles Lakers,35654150
2,Gordon Hayward,SF,Boston Celtics,31214295
3,Paul George,SG,Oklahoma City Thunder,30560700
4,James Harden,SG,Houston Rockets,30421854
5,Paul Millsap,PF,Denver Nuggets,29230769
6,Damian Lillard,PG,Portland Trail Blazers,27977689
7,Otto Porter Jr.,SF,Chicago Bulls,26011913
8,CJ McCollum,SG,Portland Trail Blazers,25759766
9,Andrew Wiggins,SF,Minnesota Timberwolves,25467250
10,Andre Drummond, C,Detroit Pistons,25434263
11,Hassan Whiteside, C,Miami Heat,25434262
12,Giannis Antetokounmpo,PF,Milwaukee Bucks,24157303
13,Marc Gasol, C,Toronto Raptors,24119025
14,Harrison Barnes,SF,Sacramento Kings,24107258
15,Nicolas Batum,PF,Charlotte Hornets,24000000
16,Kawhi Leonard,SF,Toronto Raptors,23114067
17,LaMarcus Aldridge, C,San Antonio Spurs,22347015
18,Aaron Gordon,PF,Orlando Magic,21590909
19,Victor Oladipo,SG,Indiana Pacers,21000000
20,Stephen Curry,PG,Golden State Warriors,37457154
21,Chris Paul,PG,Houston Rockets,35654150
22,Blake Griffin,PF,Detroit Pistons,32088932
23,Kyle Lowry,PG,Toronto Raptors,31200000
24,Mike Conley,PG,Memphis Grizzlies,30521115
25,Kevin Durant,PF,Golden State Warriors,30000000
26,Al Horford, C,Boston Celtics,28928709
27,DeMar DeRozan,SF,San Antonio Spurs,27739975
28,Jrue Holiday,PG,New Orleans Pelicans,25976111
29,Joel Embiid, C,Philadelphia 76ers,25467250
30,Bradley Beal,SG,Washington Wizards,25434263
31,Anthony Davis,PF,New Orleans Pelicans,25434263
32,Nikola Jokic, C,Denver Nuggets,24605181
33,Steven Adams, C,Oklahoma City Thunder,24157303
34,Kevin Love,PF,Cleveland Cavaliers,24119025
35,Chandler Parsons,SF,Memphis Grizzlies,24107258
36,Rudy Gobert, C,Utah Jazz,23241573
37,DeAndre Jordan, C,New York Knicks,22897200
38,Serge Ibaka, C,Toronto Raptors,21666667
39,Danilo Gallinari,PF,LA Clippers,21587579
40,Ryan Anderson,PF,Miami Heat,20421546
41,Jabari Parker,PF,Washington Wizards,20000000
42,Tyler Johnson,SG,Phoenix Suns,19356932
43,John Wall,PG,Washington Wizards,19169800
44,Jeff Teague,PG,Minnesota Timberwolves,19000000
45,Allen Crabbe, G,Brooklyn Nets,18500000
46,Kent Bazemore,SF,Atlanta Hawks,18089887
47,Draymond Green,PF,Golden State Warriors,17469565
48,Evan Fournier,SG,Orlando Magic,17150000
49,Bismack Biyombo, C,Charlotte Hornets,17000000
50,Jonas Valanciunas, C,Memphis Grizzlies,16539326
51,Timofey Mozgov, C,Orlando Magic,16000000
52,Ian Mahinmi, C,Washington Wizards,15944154
53,DeMarre Carroll, F,Brooklyn Nets,15400000
54,Trevor Ariza,SF,Washington Wizards,15000000
55,Ricky Rubio,PG,Utah Jazz,14975000
56,JR Smith, G,Cleveland Cavaliers,14720000
57,James Johnson,PF,Miami Heat,14651700
58,Robin Lopez, C,Chicago Bulls,14357750
59,Taj Gibson, C,Minnesota Timberwolves,14000000
60,Jimmy Butler,SF,Philadelphia 76ers,20445779
61,Kyrie Irving,PG,Boston Celtics,20099189
62,Zach LaVine,SG,Chicago Bulls,19500000
63,Tim Hardaway Jr.,SF,Dallas Mavericks,19200127
64,George Hill, G,Milwaukee Bucks,19000000
65,Klay Thompson,SG,Golden State Warriors,18988725
66,Goran Dragic,PG,Miami Heat,18109175
67,Evan Turner, G,Portland Trail Blazers,17868853
68,Tristan Thompson, C,Cleveland Cavaliers,17469565
69,Reggie Jackson,PG,Detroit Pistons,17043478
70,Derrick Favors, C,Utah Jazz,16900000
71,Gary Harris,SG,Denver Nuggets,16517857
72,Andre Iguodala,SF,Golden State Warriors,16000000
73,Dennis Schroder,PG,Oklahoma City Thunder,15500000
74,Gorgui Dieng, C,Minnesota Timberwolves,15170787
75,Eric Bledsoe,SG,Milwaukee Bucks,15000000
76,Tobias Harris,PF,Philadelphia 76ers,14800000
77,Luke Babbitt, F,Miami Heat,14651700
78,Brandon Knight, G,Cleveland Cavaliers,14631250
79,Marvin Williams, F,Charlotte Hornets,14087500
80,Clint Capela, C,Houston Rockets,13793104
81,Cody Zeller, C,Charlotte Hornets,13528090
82,Joe Ingles,SG,Utah Jazz,13045455
83,Khris Middleton,SF,Milwaukee Bucks,13000000
84,Wilson Chandler, F,LA Clippers,12800562
85,Kelly Olynyk,PF,Miami Heat,12537527
86,Jordan Clarkson,PG,Cleveland Cavaliers,12500000
87,Tyreke Evans, G,Indiana Pacers,12400000
88,Solomon Hill,SF,New Orleans Pelicans,12252928
89,Kemba Walker,PG,Charlotte Hornets,12000000
90,Avery Bradley,PG,Memphis Grizzlies,12000000
91,T.J. Warren,SF,Phoenix Suns,11750000
92,Marcus Smart,PG,Boston Celtics,11660716
93,Dion Waiters, G,Miami Heat,11550000
94,John Henson, F,Milwaukee Bucks,11327466
95,Jusuf Nurkic, C,Portland Trail Blazers,11111111
96,Maurice Harkless,SF,Portland Trail Blazers,10837079
97,Meyers Leonard, C,Portland Trail Blazers,10595506
98,Terrence Ross,SG,Orlando Magic,10500000
99,Rudy Gay,SF,San Antonio Spurs,10087200
100,Thaddeus Young,PF,Indiana Pacers,13964045
101,Marcin Gortat, C,LA Clippers,13565218
102,Eric Gordon,SG,Houston Rockets,13500375
103,Michael Kidd-Gilchrist, F,Charlotte Hornets,13000000
104,Mason Plumlee, C,Denver Nuggets,12917808
105,Nikola Vucevic, C,Orlando Magic,12750000
106,Miles Plumlee, C,Atlanta Hawks,12500000
107,Nikola Mirotic, F,Milwaukee Bucks,12500000
108,Courtney Lee, G,Dallas Mavericks,12253780
109,JJ Redick,SG,Philadelphia 76ers,12250000
110,Kentavious Caldwell-Pope,SG,Los Angeles Lakers,12000000
111,Will Barton,SF,Denver Nuggets,11830358
112,Zach Randolph, F,Dallas Mavericks,11692308
113,Patty Mills,PG,San Antonio Spurs,11571429
114,Alec Burks,SG,Sacramento Kings,11536515
115,Omer Asik, C,Chicago Bulls,11286516
116,Iman Shumpert, G,Houston Rockets,11011234
117,Tony Snell,SF,Milwaukee Bucks,10807143
118,Bojan Bogdanovic,SF,Indiana Pacers,10500000
119,Robert Covington,PF,Minnesota Timberwolves,10464092
120,Danny Green,SF,Toronto Raptors,10000000
121,Darren Collison, G,Indiana Pacers,10000000
122,Matthew Dellavedova,PG,Cleveland Cavaliers,9607500
123,Jared Dudley,SF,Brooklyn Nets,9530000
124,Josh Richardson,SG,Miami Heat,9367200
125,Bogdan Bogdanovic,SG,Sacramento Kings,9000000
126,Cristiano Felicio,PF,Chicago Bulls,8740980
127,Fred VanVleet,SG,Toronto Raptors,8653847
128,Kyle Anderson,SF,Memphis Grizzlies,8641000
129,Jerryd Bayless, G,Minnesota Timberwolves,8575916
130,C.J. Miles,SG,Memphis Grizzlies,8333333
131,Shaun Livingston, G,Golden State Warriors,8307692
132,Garrett Temple,SF,LA Clippers,8000000
133,P.J. Tucker,PF,Houston Rockets,7969537
134,Karl-Anthony Towns, C,Minnesota Timberwolves,7839435
135,Kyle Korver, G,Utah Jazz,7560000
136,Darrell Arthur, F,Phoenix Suns,7464912
137,Doug McDermott,SF,Indiana Pacers,7333333
138,Marvin Bagley III,PF,Sacramento Kings,7305600
139,Dewayne Dedmon, C,Atlanta Hawks,7200000
140,Jon Leuer, F,Detroit Pistons,10002681
141,Andre Roberson, F,Brooklyn Nets,10000000
142,Dwight Powell, C,Dallas Mavericks,9631250
143,Dante Exum,PG,Utah Jazz,9600000
144,Norman Powell,SF,Toronto Raptors,9367200
145,Rajon Rondo,PG,Los Angeles Lakers,9000000
146,E'Twaun Moore,SG,New Orleans Pelicans,8808685
147,Kosta Koufos, C,Sacramento Kings,8739500
148,Jerami Grant,SF,Oklahoma City Thunder,8653847
149,Julius Randle,PF,New Orleans Pelicans,8641000
150,Markelle Fultz,PG,Philadelphia 76ers,8339880
151,Joe Harris,SF,Brooklyn Nets,8333333
152,Deandre Ayton, C,Phoenix Suns,8165160
153,Lou Williams,SG,LA Clippers,8000000
154,Cory Joseph,PG,Indiana Pacers,7945000
155,JaMychal Green,PF,LA Clippers,7666667
