,Name,Games_Played,Minutes_Playes,Field_Goal_%,Three_Point_%,Two_Point_%,Free_Throw_%,Total_Rebound,Assist,Steal,Block,Turn_Over,Points
0,Álex Abrines,31,588,0.357,0.323,0.5,0.923,48.0,20.0,17.0,6.0,14.0,17.0
1,Quincy Acy,10,123,0.222,0.133,0.667,0.7,25.0,8.0,1.0,4.0,4.0,17.0
2,Jaylen Adams,34,428,0.345,0.338,0.361,0.778,60.0,65.0,14.0,5.0,28.0,17.0
3,Steven Adams,80,2669,0.595,0.0,0.596,0.5,760.0,124.0,117.0,76.0,135.0,17.0
4,Bam Adebayo,82,1913,0.576,0.2,0.588,0.735,597.0,184.0,71.0,65.0,121.0,17.0
5,Deng Adel,19,194,0.306,0.261,0.385,1.0,19.0,5.0,1.0,4.0,6.0,17.0
6,DeVaughn Akoon-Purcell,7,22,0.3,0.0,0.5,0.5,4.0,6.0,2.0,0.0,2.0,17.0
7,LaMarcus Aldridge,81,2687,0.519,0.238,0.528,0.847,744.0,194.0,43.0,107.0,144.0,17.0
8,Rawle Alkins,10,120,0.333,0.25,0.37,0.667,26.0,13.0,1.0,0.0,8.0,17.0
9,Grayson Allen,38,416,0.376,0.323,0.443,0.75,23.0,25.0,6.0,6.0,33.0,17.0
10,Jarrett Allen,80,2096,0.59,0.133,0.629,0.709,672.0,110.0,43.0,120.0,103.0,17.0
11,Kadeem Allen,19,416,0.461,0.472,0.457,0.778,51.0,76.0,16.0,4.0,26.0,17.0
12,Al-Farouq Aminu,81,2292,0.433,0.343,0.514,0.867,610.0,104.0,68.0,33.0,72.0,17.0
13,Justin Anderson,48,463,0.408,0.312,0.5,0.743,84.0,23.0,22.0,13.0,23.0,17.0
14,Kyle Anderson,43,1281,0.543,0.265,0.583,0.578,251.0,128.0,54.0,37.0,58.0,17.0
15,Ryan Anderson,25,322,0.304,0.225,0.414,0.75,54.0,19.0,4.0,1.0,14.0,17.0
16,Ike Anigbogu,3,6,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,17.0
17,Giannis Antetokounmpo,72,2358,0.578,0.256,0.641,0.729,898.0,424.0,92.0,110.0,268.0,17.0
18,Kostas Antetokounmpo,2,11,0.0,0.0,0.0,0.5,1.0,0.0,2.0,0.0,1.0,17.0
19,Carmelo Anthony,10,294,0.405,0.328,0.491,0.682,54.0,5.0,4.0,7.0,8.0,17.0
20,OG Anunoby,67,1352,0.453,0.332,0.574,0.581,197.0,47.0,46.0,22.0,55.0,17.0
21,Ryan Arcidiacono,81,1961,0.447,0.373,0.527,0.873,219.0,269.0,65.0,4.0,63.0,17.0
22,Trevor Ariza,69,2349,0.399,0.334,0.493,0.793,371.0,252.0,91.0,21.0,106.0,17.0
23,D.J. Augustin,81,2269,0.47,0.421,0.511,0.866,203.0,426.0,52.0,4.0,128.0,17.0
24,Deandre Ayton,71,2183,0.585,0.0,0.588,0.746,729.0,125.0,61.0,67.0,126.0,17.0
25,Dwayne Bacon,43,759,0.475,0.437,0.494,0.739,89.0,47.0,12.0,5.0,18.0,17.0
26,Marvin Bagley III,62,1567,0.504,0.313,0.534,0.691,471.0,62.0,33.0,59.0,98.0,17.0
27,Ron Baker,15,152,0.2,0.077,0.429,0.833,11.0,15.0,6.0,1.0,5.0,17.0
28,Wade Baldwin,16,94,0.303,0.222,0.333,0.727,15.0,12.0,1.0,2.0,14.0,17.0
29,Lonzo Ball,47,1423,0.406,0.329,0.482,0.417,251.0,255.0,69.0,19.0,103.0,17.0
30,Mo Bamba,47,766,0.481,0.3,0.555,0.587,233.0,39.0,13.0,64.0,43.0,17.0
31,J.J. Barea,38,752,0.418,0.297,0.479,0.705,95.0,211.0,22.0,1.0,72.0,17.0
32,Harrison Barnes,77,2533,0.42,0.395,0.439,0.824,361.0,115.0,50.0,13.0,98.0,17.0
33,Will Barton,43,1189,0.402,0.342,0.447,0.77,199.0,124.0,18.0,22.0,65.0,17.0
34,Keita Bates-Diop,30,503,0.423,0.25,0.522,0.643,83.0,17.0,18.0,14.0,14.0,17.0
35,Nicolas Batum,75,2354,0.45,0.389,0.519,0.865,390.0,247.0,71.0,43.0,117.0,17.0
36,Jerryd Bayless,34,657,0.357,0.296,0.402,0.571,62.0,119.0,18.0,2.0,32.0,17.0
37,Aron Baynes,51,821,0.471,0.344,0.519,0.855,240.0,57.0,12.0,34.0,40.0,17.0
38,Kent Bazemore,67,1643,0.402,0.32,0.465,0.726,261.0,152.0,89.0,42.0,121.0,17.0
39,Bradley Beal,82,3028,0.475,0.351,0.548,0.808,411.0,448.0,121.0,58.0,224.0,17.0
40,Malik Beasley,81,1879,0.474,0.402,0.56,0.848,200.0,97.0,55.0,10.0,55.0,17.0
41,Michael Beasley,26,277,0.49,0.176,0.529,0.718,60.0,25.0,9.0,10.0,27.0,17.0
42,Marco Belinelli,79,1815,0.413,0.372,0.468,0.903,198.0,132.0,35.0,8.0,72.0,17.0
43,Jordan Bell,68,788,0.516,0.0,0.521,0.61,184.0,76.0,20.0,51.0,42.0,17.0
44,DeAndre' Bembry,82,1931,0.446,0.289,0.508,0.64,358.0,202.0,105.0,41.0,142.0,17.0
45,Dragan Bender,46,826,0.447,0.218,0.688,0.593,183.0,56.0,18.0,22.0,37.0,17.0
46,Dairis Bertāns,12,167,0.255,0.294,0.154,0.0,9.0,10.0,1.0,0.0,2.0,17.0
47,Dāvis Bertāns,76,1632,0.45,0.429,0.513,0.883,264.0,100.0,35.0,33.0,43.0,17.0
48,Patrick Beverley,78,2137,0.407,0.397,0.421,0.78,388.0,300.0,67.0,43.0,85.0,17.0
49,Khem Birch,50,643,0.603,0.0,0.607,0.699,190.0,38.0,18.0,29.0,20.0,17.0
50,Bismack Biyombo,54,783,0.571,0.0,0.571,0.637,247.0,33.0,11.0,41.0,34.0,17.0
51,Nemanja Bjelica,77,1788,0.479,0.401,0.539,0.761,444.0,147.0,54.0,56.0,82.0,17.0
52,Antonio Blakeney,57,829,0.419,0.396,0.426,0.658,106.0,42.0,12.0,9.0,35.0,17.0
53,Eric Bledsoe,78,2272,0.484,0.329,0.582,0.75,362.0,430.0,116.0,29.0,165.0,17.0
54,Jaron Blossomgame,27,439,0.443,0.256,0.552,0.769,98.0,13.0,7.0,8.0,11.0,17.0
55,Bogdan Bogdanović,70,1947,0.418,0.36,0.462,0.827,243.0,267.0,72.0,15.0,117.0,17.0
56,Bojan Bogdanović,81,2573,0.497,0.425,0.538,0.807,333.0,161.0,69.0,1.0,134.0,17.0
57,Andrew Bogut,11,134,0.5,0.0,0.5,1.0,55.0,11.0,3.0,8.0,8.0,17.0
58,Jonah Bolden,44,639,0.494,0.354,0.697,0.481,165.0,40.0,17.0,39.0,36.0,17.0
59,Isaac Bonga,22,120,0.152,0.0,0.2,0.6,25.0,15.0,9.0,4.0,6.0,17.0
60,Devin Booker,64,2242,0.467,0.326,0.536,0.866,265.0,433.0,56.0,13.0,264.0,17.0
61,Chris Boucher,28,163,0.447,0.324,0.564,0.867,56.0,2.0,6.0,24.0,7.0,17.0
62,Avery Bradley,63,1905,0.408,0.351,0.446,0.86,175.0,152.0,41.0,16.0,89.0,17.0
63,Tony Bradley,3,36,0.5,0.0,0.5,0.5,15.0,1.0,2.0,2.0,3.0,17.0
64,Corey Brewer,31,492,0.431,0.318,0.494,0.721,76.0,39.0,32.0,7.0,19.0,17.0
65,Mikal Bridges,82,2417,0.43,0.335,0.548,0.805,264.0,173.0,129.0,38.0,70.0,17.0
66,Miles Bridges,80,1696,0.464,0.325,0.553,0.753,323.0,95.0,55.0,49.0,50.0,17.0
67,Isaiah Briscoe,39,559,0.399,0.324,0.423,0.577,74.0,87.0,11.0,2.0,31.0,17.0
68,Ryan Broekhoff,42,453,0.452,0.409,0.576,0.789,63.0,22.0,6.0,4.0,16.0,17.0
69,Malcolm Brogdon,64,1832,0.505,0.426,0.544,0.928,288.0,205.0,46.0,13.0,91.0,17.0
70,Dillon Brooks,18,330,0.402,0.375,0.415,0.733,31.0,16.0,10.0,4.0,19.0,17.0
71,MarShon Brooks,29,387,0.45,0.278,0.53,0.697,45.0,25.0,9.0,4.0,21.0,17.0
72,Bruce Brown,74,1449,0.398,0.258,0.457,0.75,185.0,91.0,40.0,36.0,46.0,17.0
73,Jaylen Brown,74,1913,0.465,0.344,0.529,0.658,313.0,100.0,69.0,32.0,99.0,17.0
74,Lorenzo Brown,26,212,0.324,0.214,0.395,1.0,31.0,28.0,12.0,5.0,16.0,17.0
75,Sterling Brown,58,1034,0.465,0.361,0.558,0.69,184.0,84.0,25.0,8.0,46.0,17.0
76,Troy Brown Jr.,52,730,0.415,0.319,0.455,0.681,145.0,80.0,21.0,5.0,30.0,17.0
77,Jalen Brunson,73,1591,0.467,0.348,0.523,0.725,169.0,230.0,37.0,4.0,88.0,17.0
78,Thomas Bryant,72,1496,0.616,0.333,0.685,0.781,454.0,92.0,25.0,67.0,60.0,17.0
79,Reggie Bullock,63,1879,0.412,0.377,0.483,0.859,173.0,129.0,40.0,12.0,65.0,17.0
80,Trey Burke,58,1125,0.431,0.352,0.463,0.831,99.0,159.0,33.0,7.0,49.0,17.0
81,Alec Burks,64,1375,0.405,0.363,0.428,0.823,235.0,128.0,39.0,21.0,65.0,17.0
82,Deonte Burton,32,240,0.402,0.296,0.455,0.667,28.0,9.0,6.0,8.0,9.0,17.0
83,Jimmy Butler,65,2185,0.462,0.347,0.494,0.855,342.0,263.0,123.0,39.0,95.0,17.0
84,Bruno Caboclo,34,800,0.427,0.369,0.505,0.84,158.0,50.0,14.0,33.0,38.0,17.0
85,José Calderón,49,632,0.375,0.246,0.492,0.818,60.0,115.0,16.0,3.0,35.0,17.0
86,Kentavious Caldwell-Pope,82,2035,0.43,0.347,0.542,0.867,238.0,110.0,73.0,13.0,65.0,17.0
87,Isaiah Canaan,30,629,0.39,0.354,0.441,0.792,58.0,84.0,14.0,2.0,35.0,17.0
88,Clint Capela,67,2249,0.648,0.0,0.648,0.636,848.0,96.0,44.0,102.0,94.0,17.0
89,DeMarre Carroll,67,1703,0.395,0.342,0.457,0.76,349.0,85.0,31.0,10.0,73.0,17.0
90,Jevon Carter,39,577,0.303,0.333,0.265,0.813,66.0,69.0,26.0,11.0,33.0,17.0
91,Vince Carter,76,1330,0.419,0.389,0.48,0.712,194.0,87.0,44.0,27.0,48.0,17.0
92,Wendell Carter Jr.,44,1110,0.485,0.188,0.513,0.795,307.0,78.0,26.0,58.0,65.0,17.0
93,Michael Carter-Williams,28,372,0.374,0.263,0.424,0.604,70.0,70.0,20.0,15.0,20.0,17.0
94,Alex Caruso,25,531,0.445,0.48,0.431,0.797,67.0,77.0,24.0,9.0,42.0,17.0
95,Omri Casspi,36,520,0.534,0.349,0.602,0.672,115.0,26.0,20.0,9.0,23.0,17.0
96,Willie Cauley-Stein,81,2213,0.556,0.5,0.556,0.551,678.0,194.0,96.0,51.0,84.0,17.0
